Sno,Items,Description,Price(in AED),Image url
29,Brooklyn Hero (Sandwich),"Freshly baked panuozzo stuffed with Gino's mustard-mayo sauce, american cheddar, smoked turkey, Italian salami and dill pickles",46,https://images.deliveryhero.io/image/talabat/Menuitems/3A9E6CAB5C4BF6D6F706B754E5D37B40?width=172&amp;height=172
30,Spaghetti Bolognese,Classic spaghetti pasta with our homemade rich tomato and beef bolognese sauce,52,https://images.deliveryhero.io/image/talabat/Menuitems/683C8353B9815F7BFBAAFD5262388C38?width=172&amp;height=172
31,Gino's Penne Alfredo,Penne pasta with Gino's homemade creamy Alfredo sauce with oven roast chicken and fresh mushroom,52,https://images.deliveryhero.io/image/talabat/Menuitems/14504A368406FD17B21C2B1399F395D4?width=172&amp;height=172
32,Penne Calabrese,"Penne pasta with our homemade creamy, tangy pink sauce with sundried tomato and grilled chicken (mildly spicy)",55,https://images.deliveryhero.io/image/talabat/Menuitems/AF7D8458770DE8E73EF43D54F217BA04?width=172&amp;height=172
33,Mac'n'Cheese,Ginos thick and creamy macaroni and cheddar classic,38,https://images.deliveryhero.io/image/talabat/Menuitems/184FFE15A745EA6D9575AB07879AD3A7?width=172&amp;height=172
34,Gino's Gnocchi,Gino's famous gnocchi with your choice of homemade pesto or truffled cream,52,https://images.deliveryhero.io/image/talabat/Menuitems/D1CE8277E02FE37B203B4B963BA8B8D4?width=172&amp;height=172
35,Buffalo Ranch (30ml),Creamy Buffalo Ranch Dip,4,https://images.deliveryhero.io/image/talabat/Menuitems/7C649C786D6C9F45F178D7850D864CCF?width=172&amp;height=172
36,Sundried Tomato Marinara (30ml),"Homemade with Italian sundried tomatoes, pine nuts, and classic marinara sauce",5,https://images.deliveryhero.io/image/talabat/Menuitems/2D3BFB93606AF7980798FED46543D50D?width=172&amp;height=172
37,Garlic & Herb (30ml),Homemade creamy garlic and herb dip,4,https://images.deliveryhero.io/image/talabat/Menuitems/B4C28F7C60D890214D3570C05BC8AA08?width=172&amp;height=172
38,BBQ Honey Mustard (30ml),"A classic combination of smoky BBQ sauce, American mustard and honey",4,https://images.deliveryhero.io/image/talabat/Menuitems/08DD721E01B6A881AC2445C97978EFC6?width=172&amp;height=172
39,Chipotle Mayo (30ml),"Spicy, tangy and delicious with almost anything!",4,https://images.deliveryhero.io/image/talabat/Menuitems/1ACDC3895E6C2FF85EBED3ABE6D09233?width=172&amp;height=172
40,Sweet Chili (30ml),A sweet & (mildly) spicy classic!,3,https://images.deliveryhero.io/image/talabat/Menuitems/9902853B413DE0ECA3557BA7AA033A29?width=172&amp;height=172
41,Smoky BBQ (30ml),A smoky classic,3,https://images.deliveryhero.io/image/talabat/Menuitems/2DA1C33FF24D8D14B594FEECB47831CE?width=172&amp;height=172
42,Marie Rose (30ml),"A blend of tomato, mayonnaise, Worcestershire sauce, lemon juice and black pepper",4,https://images.deliveryhero.io/image/talabat/Menuitems/FE33C64651925FEE62E1AFE488428549?width=172&amp;height=172
43,Ginos Tiramisu,House special - homemade classic creamy Tiramisu (8oz),25,https://images.deliveryhero.io/image/talabat/Menuitems/151D91D378B98924202E7E1122B7E65F?width=172&amp;height=172
44,Chocolate Fudge Brownie,"Homemade chocolate fudge brownie - soft, chewy and delicious! Contain Nuts (1 piece)",22,https://images.deliveryhero.io/image/talabat/Menuitems/F36A533763464E4220CF5F682C4032AE?width=172&amp;height=172
